Latitude,Longitude,Angle,Image_URL,Image_Name,Image_Download_Status,Image_Date
38.7004246,-9.181539692,90,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70042460419809,-9.181539692159632&heading=90",34,Downloaded,Aug-24
38.7004246,-9.181539692,180,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70042460419809,-9.181539692159632&heading=180",35,Downloaded,Aug-24
38.7004246,-9.181539692,270,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70042460419809,-9.181539692159632&heading=270",36,Downloaded,Aug-24
38.70003861,-9.181325476,0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70003861103181,-9.181325476478898&heading=0",37,Downloaded,Aug-24
38.70003861,-9.181325476,90,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70003861103181,-9.181325476478898&heading=90",38,Downloaded,Aug-24
38.70003861,-9.181325476,180,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70003861103181,-9.181325476478898&heading=180",39,Downloaded,Aug-24
38.70003861,-9.181325476,270,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70003861103181,-9.181325476478898&heading=270",40,Downloaded,Aug-24
38.69973943,-9.181154173,0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.6997394328555,-9.181154173370015&heading=0",41,Downloaded,Aug-24
38.69973943,-9.181154173,90,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.6997394328555,-9.181154173370015&heading=90",42,Downloaded,Aug-24
38.69973943,-9.181154173,180,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.6997394328555,-9.181154173370015&heading=180",43,Downloaded,Aug-24
38.69973943,-9.181154173,270,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.6997394328555,-9.181154173370015&heading=270",44,Downloaded,Aug-24
38.6994799,-9.181003,0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69947989999999,-9.181003&heading=0",45,Downloaded,Aug-22
38.6994799,-9.181003,90,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69947989999999,-9.181003&heading=90",46,Downloaded,Aug-22
38.6994799,-9.181003,180,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69947989999999,-9.181003&heading=180",47,Downloaded,Aug-22
38.6994799,-9.181003,270,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69947989999999,-9.181003&heading=270",48,Downloaded,Aug-22
38.7006655,-9.1825315,0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70066549999999,-9.1825315&heading=0",49,Downloaded,Aug-22
38.7006655,-9.1825315,90,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70066549999999,-9.1825315&heading=90",50,Downloaded,Aug-22
38.7006655,-9.1825315,180,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70066549999999,-9.1825315&heading=180",51,Downloaded,Aug-22
38.7006655,-9.1825315,270,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70066549999999,-9.1825315&heading=270",52,Downloaded,Aug-22
38.70038196,-9.182305857,0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70038195685787,-9.18230585726008&heading=0",53,Downloaded,Aug-24
38.70038196,-9.182305857,90,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70038195685787,-9.18230585726008&heading=90",54,Downloaded,Aug-24
38.70038196,-9.182305857,180,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70038195685787,-9.18230585726008&heading=180",55,Downloaded,Aug-24
38.70038196,-9.182305857,270,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70038195685787,-9.18230585726008&heading=270",56,Downloaded,Aug-24
38.70001155,-9.182050437,0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70001154541373,-9.182050436809002&heading=0",57,Downloaded,Aug-24
38.70001155,-9.182050437,90,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70001154541373,-9.182050436809002&heading=90",58,Downloaded,Aug-24
38.70001155,-9.182050437,180,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70001154541373,-9.182050436809002&heading=180",59,Downloaded,Aug-24
